曲鲤:Aaptosyax grypus
秘鲁磨牙脂鲤:Acrobrycon ipanquianus
美洲锐唇鲤:Acrocheilus alutaceus
皱纹庞鲶:Acrochordonichthys rugosus
顶鼻前唇鳗:Acromycter nezumi
头孔前唇鳗:Acromycter perturbator
银发光鲷:Acropoma argentistigma
圆鳞发光鲷:Acropoma hanedai
日本发光鲷:Acropoma japonicum
勒氏发光鲷:Acropoma lecorneti
北江光唇鱼:Acrossocheilus beijiangensis
带光唇鱼:Acrossocheilus cinctus
条纹光唇鱼:Acrossocheilus fasciatus
半刺光唇鱼:Acrossocheilus hemispinus
虹彩光唇鱼:Acrossocheilus iridescens
吉首光唇鱼:Acrossocheilus jishouensis
薄颌光唇鱼:Acrossocheilus kreyenbergii
长鳍光唇鱼:Acrossocheilus longipinnis
宽口光唇鱼:Acrossocheilus monticola
台湾光唇鱼:Acrossocheilus paradoxus
侧条光唇鱼:Acrossocheilus parallens
小刺光唇鱼:Acrossocheilus spinifer
窄条光唇鱼:Acrossocheilus stenotaeniatus
温州光唇鱼:Acrossocheilus wenchowensis
云南光唇鱼:Acrossocheilus yunnanensis
暗色短棘鲨:Aculeola nigra
绿喉盘鱼:Acyrtops beryllinus
拟喉盘鱼:Acyrtus artius
锈色拟喉盘鱼:Acyrtus rubiginosus
隐鲉:Adelosebastes latens
异域小孔鳉:Adinia xenica
鲸眼无齿翎电鳗:Adontosternarchus balaenops
克氏无齿翎电鳗:Adontosternarchus clarkae
德氏无齿翎电鳗:Adontosternarchus devenanzii
云斑无齿翎电鳗:Adontosternarchus nebulosus
萨氏无齿翎电鳗:Adontosternarchus sachsi
卵形怪颌鳉:Adrianichthys oophorus
波氏怪颌鳉:Adrianichthys poptae
斑纹虾鱼:Aeoliscus punctulatus
条纹虾鱼:Aeoliscus strigatus
委内瑞拉宝丽鱼:Aequidens chimantanus
宽口宝丽鱼:Aequidens diadema
埃帕宝丽鱼:Aequidens epae
后宝丽鱼:Aequidens metae
迈克尔氏宝丽鱼:Aequidens michaeli
苍色宝丽鱼:Aequidens pallidus
帕氏宝丽鱼:Aequidens patricki
圭亚那宝丽鱼:Aequidens potaroensis
鞍斑宝丽鱼:Aequidens tetramerus
管宝丽鱼:Aequidens tubicen
角鳎:Aesopia cornuta
斑纹疣皮丑鲉:Aetapcus maculatus
红嘴烟鲈:Aethaloperca rogaa
无斑鹞鲼:Aetobatus flagellum
纳氏鹞鲼:Aetobatus narinari
眼斑鹞鲼:Aetobatus ocellatus
花点无刺鲼:Aetomylaeus maculatus
鹰状无刺鲼:Aetomylaeus milvus
聂氏无刺鲼:Aetomylaeus nichofii
蝠状无刺鲼:Aetomylaeus vespertilio
条尾鸢魟:Aetoplatea zonura
谢氏非洲南鲈:Afronandus sheljuzhkoi
塔马拉岛阿富卡虾虎鱼:Afurcagobius tamarensis
白斑蜴鲶:Agamyxis albomaculatus
梳额蜴鲶:Agamyxis pectinifrons
红尾无须鲶:Ageneiosus inermis
马氏无须鲶:Ageneiosus magoi
花斑无须鲶:Ageneiosus marmoratus
阿根廷无须鲶:Ageneiosus militaris
豹纹无须鲶:Ageneiosus pardalis
多斑无须鲶:Ageneiosus polystictus
秘鲁无须鲶:Ageneiosus ucayalensis
瞻星无须鲶:Ageneiosus uranophthalmus
条纹无须鲶:Ageneiosus vittatus
鳀形盗鲑鲤:Agoniates anchovia
海盗鲑鲤:Agoniates halecinus
斑鳍髭八角鱼:Agonomalus proboscidalis
坚拟八角鱼:Agonopsis sterletus
尖吻拟八角鱼:Agonopsis vulsa
卡氏圆口鲻:Agonostomus catalai
长体圆口鲻:Agonostomus monticola
特氏圆口鲻:Agonostomus telfairii
八角鱼:Agonus cataphractus
金腹美石鱥:Agosia chrysogaster
派氏长体皇带鱼:Agrostichthys parkeri
英氏魅鲶:Aguarunichthys inpai
秘鲁魅鲶:Aguarunichthys torosus
大眼阿尔蛇鳗:Ahlia egmontis
贝氏阿尔蜥灯鱼:Ahliesaurus berryi
地中海远鳚:Aidablennius sphynx
巴基斯坦艾利鲶:Ailia coila
新几内亚动眼鳍鳢:Aioliops novaeguineae
裸头龙䲢:Akarotaxis nudiceps
富图纳岛明仁虾虎鱼:Akihito futuna
叉牙明仁虾虎鱼:Akihito vanuatu
短须粒鲶:Akysis brachybarbatus
长线粒鲶:Akysis longifilis
印度粒鲶:Akysis manipurensis
普氏粒鲶:Akysis prashadi
中华粒鲶:Akysis sinensis
高背翼喉盘鱼:Alabes dorsalis
霍氏翼喉盘鱼:Alabes hoesei
斯科特氏翼喉盘鱼:Alabes scotti
细鳞壮鳕:Albatrossia pectoralis
银北梭鱼:Albula argentea
婪北梭鱼:Albula esuncula
吉氏北梭鱼:Albula gilberti
圆颌北梭鱼:Albula glossodonta
东海北梭鱼:Albula koreana
黑吻北梭鱼:Albula nemoptera
尖颌北梭鱼:Albula neoguinaica
寡鳞北梭鱼:Albula oligolepis
条纹北梭鱼:Albula virgata
北梭鱼:Albula vulpes
北梭短吻鱼:Albulichthys albuloides
双斑拟白鱼:Alburnoides bipunctatus
德氏拟白鱼:Alburnoides devolli
艾氏拟白鱼:Alburnoides eichwaldii
方芳拟白鱼:Alburnoides fangfangae
条纹拟白鱼:Alburnoides fasciatus
格氏拟白鱼:Alburnoides gmelini
霍氏拟白鱼:Alburnoides holciki
伊迪拟白鱼:Alburnoides idignensis
库班河拟白鱼:Alburnoides kubanicus
土耳其拟白鱼:Alburnoides manyasensis
纳氏拟白鱼:Alburnoides namaki
尼古拉拟白鱼:Alburnoides nicolausi
欧连达湖拟白鱼:Alburnoides ohridanus
普雷斯帕湖拟白鱼:Alburnoides prespensis
卡氏拟白鱼:Alburnoides qanati
带纹拟白鱼:Alburnoides taeniatus
爱丁欧白鱼:Alburnus adanensis
光欧白鱼:Alburnus albidus
欧白鱼:Alburnus alburnus
侧条欧白鱼:Alburnus arborella
伊朗欧白鱼:Alburnus atropatenae
长身欧白鱼:Alburnus attalus
巴氏欧白鱼:Alburnus baliki
巴坦欧白鱼:Alburnus battalgilae
普雷斯湖欧白鱼:Alburnus belvica
淡黑欧白鱼:Alburnus caeruleus
卡连那欧白鱼:Alburnus carinatus
似蜥欧白鱼:Alburnus chalcoides
迪氏欧白鱼:Alburnus demiri
德氏欧白鱼:Alburnus derjugini
多氏欧白鱼:Alburnus doriae
埃氏欧白鱼:Alburnus escherichii
菲氏欧白鱼:Alburnus filippii
赫氏欧白鱼:Alburnus heckeli
霍氏欧白鱼:Alburnus hohenackeri
伊斯坦布尔欧白鱼:Alburnus istanbulensis
利氏欧白鱼:Alburnus leobergi
银色欧白鱼:Alburnus macedonicus
曼德林欧白鱼:Alburnus mandrensis
长颌欧白鱼:Alburnus mento
拟长颌欧白鱼:Alburnus mentoides
褐背欧白鱼:Alburnus mossulensis
纳氏欧白鱼:Alburnus nasreddini
尼氏欧白鱼:Alburnus neretvae
奥龙河欧白鱼:Alburnus orontis
叙利亚欧白鱼:Alburnus qalilus
斯氏欧白鱼:Alburnus schischkovi
细尾欧白鱼:Alburnus scoranza
波斯欧白鱼:Alburnus sellal
塔氏欧白鱼:Alburnus tarichi
巴尔干欧白鱼:Alburnus thessalicus
维斯东湖欧白鱼:Alburnus vistonicus
伏尔夫湖欧白鱼:Alburnus volviticus
鄂霍茨克海雀杜父鱼:Alcichthys alcicornis
长体雀杜父鱼:Alcichthys elongatus
福氏厚唇鲻:Aldrichetta forsteri
异鳞海蜴鱼:Aldrovandia affinis
多脂海蜴鱼:Aldrovandia oleosa
裸头海蜴鱼:Aldrovandia phalacra
亚历山大丝鲹:Alectis alexandrina
丝鲹:Alectis ciliaris
印度丝鲹:Alectis indica
砾栖鸡冠鳚:Alectrias alectrolophus
绿鸡冠鳚:Alectrias benjamini
须鸡冠鳚:Alectrias cirratus
加林鸡冠鳚:Alectrias gallinus
细尾副叶鲹:Alepes apercna
吉打副叶鲹:Alepes djedaba
克氏副叶鲹:Alepes kleinii
黑鳍副叶鲹:Alepes melanoptera
范氏副叶鲹:Alepes vari
艾氏阿勒银汉鱼:Alepidomus evermanni
短吻帆蜥鱼:Alepisaurus brevirostris
帆蜥鱼:Alepisaurus ferox
大眼平头鱼:Alepocephalus agassizii
反足平头鱼:Alepocephalus antipodianus
澳洲平头鱼:Alepocephalus australis
贝氏平头鱼:Alepocephalus bairdii
双色平头鱼:Alepocephalus bicolor
长鳍平头鱼:Alepocephalus longiceps
阿根廷平头鱼:Alepocephalus productus
钩鼻平头鱼:Alepocephalus rostratus
特内平头鱼:Alepocephalus tenebrosus
尖吻平头鱼:Alepocephalus triangularis
暗首平头鱼:Alepocephalus umbriceps
布氏镊口鲉:Alertichthys blacki
贝尔鲑脂鲤:Alestes baremoze
头饰鲑脂鲤:Alestes comptus
尖齿鲑脂鲤:Alestes dentex
低眼鲑脂鲤:Alestes inferus
利氏鲑脂鲤:Alestes liebrechtsii
大眼鲑脂鲤:Alestes macrophthalmus
双带非洲鲑鲤:Alestopetersius bifasciatus
布氏非洲鲑鲤:Alestopetersius brichardi
短尾非洲鲑鲤:Alestopetersius caudalis
扁非洲鲑鲤:Alestopetersius compressus
尾斑非洲鲑鲤:Alestopetersius conspectus
希氏非洲鲑鲤:Alestopetersius hilgendorfi
灰鳍非洲鲑鲤:Alestopetersius nigropterus
通贝非洲鲑鲤:Alestopetersius tumbensis
刀鳞鳉:Alfaro cultratus
尼加拉瓜鳞鳉:Alfaro huberi
银色食草鱥:Algansea amecae
墨西哥食草鱥:Algansea aphanea
热带食草鱥:Algansea avia
髯食草鱥:Algansea barbata
湖栖食草鱥:Algansea lacustris
山区食草鱥:Algansea monticola
斑尾食草鱥:Algansea tincella
大眼海鼬鱼:Alionematichthys piger
琉球海鼬鱼:Alionematichthys riukiuensis
喉奇蟾鱼:Allenbatrachus grunniens
黑斑异鳚:Alloblennius pictus
乔氏异头狮鱼:Allocareproctus jordani
红身异头狮鱼:Allocareproctus kallaion
细尾异头狮鱼:Allocareproctus tanix
金眼异头狮鱼:Allocareproctus unangas
阿留申岛异头狮鱼:Allocareproctus ungak
霍氏异脂鳚:Alloclinus holderi
福氏异海鲂:Allocyttus folletti
黑异海鲂:Allocyttus niger
疣异海鲂:Allocyttus verrucosus
赫氏异齿谷鳉:Allodontichthys hubbsi
多鳞异齿谷鳉:Allodontichthys polylepis
塔氏异齿谷鳉:Allodontichthys tamazulae
带纹异齿谷鳉:Allodontichthys zonistius
黑斑异短刺鲀:Allomycterus pilatus
壮体异蜂鳉:Alloophorus robustus
长身异胡瓜鱼:Allosmerus elongatus
细鲣:Allothunnus fallai
猫异育鳉:Allotoca catarinae
戴氏异育鳉:Allotoca diazi
中美洲异育鳉:Allotoca dugesii
戈氏异育鳉:Allotoca goslinei
斑异育鳉:Allotoca maculata
米氏异育鳉:Allotoca meeki
皇异育鳉:Allotoca regalis
斑条异育鳉:Allotoca zacapuensis
浅海长尾鲨:Alopias pelagicus
大眼长尾鲨:Alopias superciliosus
弧形长尾鲨:Alopias vulpinus
蓝背西鲱:Alosa aestivalis
阿戈西鲱:Alosa agone
阿拉巴马西鲱:Alosa alabamae
阿尔及利西鲱:Alosa algeriensis
西鲱:Alosa alosa
黄绿西鲱:Alosa chrysochloris
伪西鲱:Alosa fallax
无斑西鲱:Alosa immaculata
欧洲西鲱:Alosa killarnensis
马其顿西鲱:Alosa macedonica
柔西鲱:Alosa mediocris
拟沙西鲱:Alosa pseudoharengus
美洲西鲱:Alosa sapidissima
希腊西鲱:Alosa vistonica
圆尾鸳鸯鮨:Alphestes afer
无斑鸳鸯鮨:Alphestes immaculatus
密斑鸳鸯鮨:Alphestes multiguttatus
乔氏高身丽鱼:Alticorpus geoffreyi
大颏高身丽鱼:Alticorpus mentale
花点跳弹鳚:Alticus anjouanae
项冠跳弹鳚:Alticus arnoldorum
克氏跳弹鳚:Alticus kirkii
单色跳弹鳚:Alticus monochrus
南海跳弹鳚:Alticus montanoi
跳弹鳚:Alticus saliens
马克萨斯岛跳弹鳚:Alticus simplicirrus
光头高身亮丽鱼:Altolamprologus calvus
侧扁高身亮丽鱼:Altolamprologus compressiceps
蓝条高身豆娘鱼:Altrichthys azurelineatus
菲律宾高身豆娘鱼:Altrichthys curatus
紫点革鲀:Aluterus heudelotii
单角革鲀:Aluterus monoceros
橙斑革鲀:Aluterus schoepfii
拟态革鲀:Aluterus scriptus
美尾棘鲀:Amanses scopas
亚马逊河小渠鲶:Amaralia hypsiura
卡氏无囊鲳:Amarsipus carlsbergi
中美洲娇丽鱼:Amatitlania coatepeque
黑带娇丽鱼:Amatitlania nigrofasciata
橘斑娇丽鱼:Amatitlania siquia
亚马逊棘脂鲤:Amazonspinther dalmata
亚马逊鳀:Amazonsprattus scintilla
阿氏双边鱼:Ambassis agassizii
帆鳍双边鱼:Ambassis agrammus
安巴双边鱼:Ambassis ambassis
布鲁双边鱼:Ambassis buruensis
康氏双边鱼:Ambassis commersoni
杜氏双边鱼:Ambassis dussumieri
黄鳍双边鱼:Ambassis elongata
裸头双边鱼:Ambassis gymnocephalus
断线双边鱼:Ambassis interrupta
