琉球鬃尾魨:Acreichthys hajam
白線鬃尾魨:Acreichthys tomentosus
祕魯磨牙脂鯉:Acrobrycon ipanquianus
美洲銳唇鯉:Acrocheilus alutaceus
皺紋龐鯰:Acrochordonichthys rugosus
頂鼻前唇鰻:Acromycter nezumi
頭孔前唇鰻:Acromycter perturbator
銀發光鯛:Acropoma argentistigma
圓鱗發光鯛:Acropoma hanedai
日本發光鯛:Acropoma japonicum
勒氏發光鯛:Acropoma lecorneti
北江光唇魚:Acrossocheilus beijiangensis
帶光唇魚:Acrossocheilus cinctus
條紋光唇魚:Acrossocheilus fasciatus
半刺光唇魚:Acrossocheilus hemispinus
虹彩光唇魚:Acrossocheilus iridescens
吉首光唇魚:Acrossocheilus jishouensis
薄頜光唇魚:Acrossocheilus kreyenbergii
長鰭光唇魚:Acrossocheilus longipinnis
寬口光唇魚:Acrossocheilus monticola
臺灣光唇魚:Acrossocheilus paradoxus
側條光唇魚:Acrossocheilus parallens
小刺光唇魚:Acrossocheilus spinifer
窄條光唇魚:Acrossocheilus stenotaeniatus
溫州光唇魚:Acrossocheilus wenchowensis
雲南光唇魚:Acrossocheilus yunnanensis
暗色短棘鯊:Aculeola nigra
綠喉盤魚:Acyrtops beryllinus
擬喉盤魚:Acyrtus artius
銹色擬喉盤魚:Acyrtus rubiginosus
隱鮋:Adelosebastes latens
異域小孔鱂:Adinia xenica
鯨眼無齒翎電鰻:Adontosternarchus balaenops
克氏無齒翎電鰻:Adontosternarchus clarkae
德氏無齒翎電鰻:Adontosternarchus devenanzii
雲斑無齒翎電鰻:Adontosternarchus nebulosus
薩氏無齒翎電鰻:Adontosternarchus sachsi
卵形怪頜鱂:Adrianichthys oophorus
波氏怪頜鱂:Adrianichthys poptae
斑紋蝦魚:Aeoliscus punctulatus
條紋蝦魚:Aeoliscus strigatus
委內瑞拉寶麗魚:Aequidens chimantanus
寬口寶麗魚:Aequidens diadema
埃帕寶麗魚:Aequidens epae
後寶麗魚:Aequidens metae
邁克爾氏寶麗魚:Aequidens michaeli
蒼色寶麗魚:Aequidens pallidus
帕氏寶麗魚:Aequidens patricki
圭亞那寶麗魚:Aequidens potaroensis
鞍斑寶麗魚:Aequidens tetramerus
管寶麗魚:Aequidens tubicen
角鰨:Aesopia cornuta
斑紋疣皮醜鮋:Aetapcus maculatus
紅嘴煙鱸:Aethaloperca rogaa
無斑鷂鱝:Aetobatus flagellum
納氏鷂鱝:Aetobatus narinari
眼斑鷂鱝:Aetobatus ocellatus
花點無刺鱝:Aetomylaeus maculatus
鷹狀無刺鱝:Aetomylaeus milvus
聶氏無刺鱝:Aetomylaeus nichofii
蝠狀無刺鱝:Aetomylaeus vespertilio
條尾鳶魟:Aetoplatea zonura
謝氏非洲南鱸:Afronandus sheljuzhkoi
塔馬拉島阿富卡鰕虎:Afurcagobius tamarensis
白斑蜴鯰:Agamyxis albomaculatus
梳額蜴鯰:Agamyxis pectinifrons
紅尾無鬚鯰:Ageneiosus inermis
馬氏無鬚鯰:Ageneiosus magoi
花斑無鬚鯰:Ageneiosus marmoratus
阿根廷無鬚鯰:Ageneiosus militaris
豹紋無鬚鯰:Ageneiosus pardalis
多斑無鬚鯰:Ageneiosus polystictus
祕魯無鬚鯰:Ageneiosus ucayalensis
瞻星無鬚鯰:Ageneiosus uranophthalmus
條紋無鬚鯰:Ageneiosus vittatus
鯷形盜鮭鯉:Agoniates anchovia
海盜鮭鯉:Agoniates halecinus
斑鰭髭八角魚:Agonomalus proboscidalis
堅擬八角魚:Agonopsis sterletus
尖吻擬八角魚:Agonopsis vulsa
卡氏圓口鯔:Agonostomus catalai
長體圓口鯔:Agonostomus monticola
特氏圓口鯔:Agonostomus telfairii
八角魚:Agonus cataphractus
金腹美石鱥:Agosia chrysogaster
派氏長體皇帶魚:Agrostichthys parkeri
英氏魅鯰:Aguarunichthys inpai
祕魯魅鯰:Aguarunichthys torosus
大眼阿爾蛇鰻:Ahlia egmontis
貝氏阿爾蜥燈魚:Ahliesaurus berryi
地中海遠鳚:Aidablennius sphynx
巴基斯坦艾利鯰:Ailia coila
新幾內亞動眼鰭鱧:Aioliops novaeguineae
裸頭龍鰧:Akarotaxis nudiceps
富圖納島明仁鰕虎:Akihito futuna
叉牙明仁鰕虎:Akihito vanuatu
短鬚粒鯰:Akysis brachybarbatus
長線粒鯰:Akysis longifilis
印度粒鯰:Akysis manipurensis
普氏粒鯰:Akysis prashadi
中華粒鯰:Akysis sinensis
高背翼喉盤魚:Alabes dorsalis
霍氏翼喉盤魚:Alabes hoesei
斯科特氏翼喉盤魚:Alabes scotti
細鱗壯鱈:Albatrossia pectoralis
銀北梭魚:Albula argentea
婪北梭魚:Albula esuncula
吉氏北梭魚:Albula gilberti
圓頜北梭魚:Albula glossodonta
東海北梭魚:Albula koreana
黑吻北梭魚:Albula nemoptera
尖頜北梭魚:Albula neoguinaica
寡鱗北梭魚:Albula oligolepis
條紋北梭魚:Albula virgata
北梭魚:Albula vulpes
北梭短吻魚:Albulichthys albuloides
雙斑擬白魚:Alburnoides bipunctatus
德氏擬白魚:Alburnoides devolli
艾氏擬白魚:Alburnoides eichwaldii
方芳擬白魚:Alburnoides fangfangae
條紋擬白魚:Alburnoides fasciatus
格氏擬白魚:Alburnoides gmelini
霍氏擬白魚:Alburnoides holciki
伊迪擬白魚:Alburnoides idignensis
庫班河擬白魚:Alburnoides kubanicus
土耳其擬白魚:Alburnoides manyasensis
納氏擬白魚:Alburnoides namaki
尼古拉擬白魚:Alburnoides nicolausi
歐連達湖擬白魚:Alburnoides ohridanus
普雷斯帕湖擬白魚:Alburnoides prespensis
卡氏擬白魚:Alburnoides qanati
帶紋擬白魚:Alburnoides taeniatus
愛丁歐白魚:Alburnus adanensis
光歐白魚:Alburnus albidus
歐白魚:Alburnus alburnus
側條歐白魚:Alburnus arborella
伊朗歐白魚:Alburnus atropatenae
長身歐白魚:Alburnus attalus
巴氏歐白魚:Alburnus baliki
巴坦歐白魚:Alburnus battalgilae
普雷斯湖歐白魚:Alburnus belvica
淡黑歐白魚:Alburnus caeruleus
卡連那歐白魚:Alburnus carinatus
似蜥歐白魚:Alburnus chalcoides
迪氏歐白魚:Alburnus demiri
德氏歐白魚:Alburnus derjugini
多氏歐白魚:Alburnus doriae
埃氏歐白魚:Alburnus escherichii
菲氏歐白魚:Alburnus filippii
赫氏歐白魚:Alburnus heckeli
霍氏歐白魚:Alburnus hohenackeri
伊斯坦布爾歐白魚:Alburnus istanbulensis
利氏歐白魚:Alburnus leobergi
銀色歐白魚:Alburnus macedonicus
曼德林歐白魚:Alburnus mandrensis
長頜歐白魚:Alburnus mento
擬長頜歐白魚:Alburnus mentoides
褐背歐白魚:Alburnus mossulensis
納氏歐白魚:Alburnus nasreddini
尼氏歐白魚:Alburnus neretvae
奧龍河歐白魚:Alburnus orontis
敘利亞歐白魚:Alburnus qalilus
斯氏歐白魚:Alburnus schischkovi
細尾歐白魚:Alburnus scoranza
波斯歐白魚:Alburnus sellal
塔氏歐白魚:Alburnus tarichi
巴爾幹歐白魚:Alburnus thessalicus
維斯東湖歐白魚:Alburnus vistonicus
伏爾夫湖歐白魚:Alburnus volviticus
鄂霍茨克海雀杜父魚:Alcichthys alcicornis
長體雀杜父魚:Alcichthys elongatus
福氏厚唇鯔:Aldrichetta forsteri
異鱗海蜴魚:Aldrovandia affinis
多脂海蜴魚:Aldrovandia oleosa
裸頭海蜴魚:Aldrovandia phalacra
亞歷山大絲鰺:Alectis alexandrina
絲鰺:Alectis ciliaris
印度絲鰺:Alectis indica
礫棲雞冠鳚:Alectrias alectrolophus
綠雞冠鳚:Alectrias benjamini
鬚雞冠鳚:Alectrias cirratus
加林雞冠鳚:Alectrias gallinus
細尾副葉鰺:Alepes apercna
吉打副葉鰺:Alepes djedaba
克氏副葉鰺:Alepes kleinii
黑鰭副葉鰺:Alepes melanoptera
范氏副葉鰺:Alepes vari
艾氏阿勒銀漢魚:Alepidomus evermanni
短吻帆蜥魚:Alepisaurus brevirostris
帆蜥魚:Alepisaurus ferox
大眼平頭魚:Alepocephalus agassizii
反足平頭魚:Alepocephalus antipodianus
澳洲平頭魚:Alepocephalus australis
貝氏平頭魚:Alepocephalus bairdii
雙色平頭魚:Alepocephalus bicolor
長鰭平頭魚:Alepocephalus longiceps
阿根廷平頭魚:Alepocephalus productus
鈎鼻平頭魚:Alepocephalus rostratus
特內平頭魚:Alepocephalus tenebrosus
尖吻平頭魚:Alepocephalus triangularis
暗首平頭魚:Alepocephalus umbriceps
布氏鑷口鮋:Alertichthys blacki
貝爾鮭脂鯉:Alestes baremoze
頭飾鮭脂鯉:Alestes comptus
尖齒鮭脂鯉:Alestes dentex
低眼鮭脂鯉:Alestes inferus
利氏鮭脂鯉:Alestes liebrechtsii
